patch_id,annotation_name,patch_top_left,patch_top_left_x,patch_top_left_y,ill_cells_area,patch_area,not_ill_area
13865,Group_0_Name_0,[ 64032 149792],64032,149792,43,50176,50133
13951,Group_0_Name_0,[ 64256 149568],64256,149568,3946,50176,46230
13952,Group_0_Name_0,[ 64256 149792],64256,149792,40999,50176,9177
13953,Group_0_Name_0,[ 64256 150016],64256,150016,1504,50176,48672
14032,Group_0_Name_0,[ 64480 148672],64480,148672,1110,50176,49066
14034,Group_0_Name_0,[ 64480 149120],64480,149120,427,50176,49749
14035,Group_0_Name_0,[ 64480 149344],64480,149344,15801,50176,34375
14036,Group_0_Name_0,[ 64480 149568],64480,149568,40849,50176,9327
14037,Group_0_Name_0,[ 64480 149792],64480,149792,37382,50176,12794
14038,Group_0_Name_0,[ 64480 150016],64480,150016,693,50176,49483
14114,Group_0_Name_0,[ 64704 148672],64704,148672,32026,50176,18150
14115,Group_0_Name_0,[ 64704 148896],64704,148896,7153,50176,43023
14116,Group_0_Name_0,[ 64704 149120],64704,149120,29746,50176,20430
14117,Group_0_Name_0,[ 64704 149344],64704,149344,50176,50176,0
14118,Group_0_Name_0,[ 64704 149568],64704,149568,35731,50176,14445
14119,Group_0_Name_0,[ 64704 149792],64704,149792,1523,50176,48653
14189,Group_0_Name_0,[ 64928 148448],64928,148448,104,50176,50072
14190,Group_0_Name_0,[ 64928 148672],64928,148672,48735,50176,1441
14191,Group_0_Name_0,[ 64928 148896],64928,148896,43181,50176,6995
14192,Group_0_Name_0,[ 64928 149120],64928,149120,46960,50176,3216
14193,Group_0_Name_0,[ 64928 149344],64928,149344,50176,50176,0
14194,Group_0_Name_0,[ 64928 149568],64928,149568,45905,50176,4271
14195,Group_0_Name_0,[ 64928 149792],64928,149792,4775,50176,45401
14263,Group_0_Name_0,[ 65152 148672],65152,148672,23623,50176,26553
14264,Group_0_Name_0,[ 65152 148896],65152,148896,42768,50176,7408
14265,Group_0_Name_0,[ 65152 149120],65152,149120,43221,50176,6955
14266,Group_0_Name_0,[ 65152 149344],65152,149344,44645,50176,5531
14267,Group_0_Name_0,[ 65152 149568],65152,149568,47824,50176,2352
14268,Group_0_Name_0,[ 65152 149792],65152,149792,9646,50176,40530
14336,Group_0_Name_0,[ 65376 149568],65376,149568,554,50176,49622
