,train,val,test
0,normal_102,normal_009,test_001
1,tumor_100,normal_033,test_002
2,normal_037,normal_029,test_003
3,tumor_078,tumor_089,test_004
4,tumor_099,normal_089,test_005
5,normal_057,normal_143,test_006
6,tumor_068,normal_136,test_007
7,tumor_028,normal_111,test_008
8,tumor_065,normal_041,test_009
9,normal_045,normal_070,test_010
10,tumor_104,normal_047,test_011
11,normal_095,normal_160,test_012
12,normal_016,normal_004,test_013
13,normal_044,tumor_052,test_014
14,tumor_020,normal_062,test_015
15,tumor_055,normal_120,test_016
16,normal_040,tumor_085,test_017
17,normal_080,normal_124,test_018
18,normal_125,normal_088,test_019
19,normal_138,normal_072,test_020
20,normal_104,tumor_047,test_021
21,normal_051,normal_030,test_022
22,normal_082,normal_066,test_023
23,tumor_056,tumor_010,test_024
24,tumor_031,tumor_046,test_025
25,normal_012,normal_153,test_026
26,normal_071,normal_053,test_027
27,normal_156,normal_084,test_028
28,normal_017,normal_137,test_029
29,normal_092,normal_001,test_030
30,normal_128,normal_147,test_031
31,tumor_011,normal_135,test_032
32,tumor_096,normal_049,test_033
33,normal_149,tumor_038,test_034
34,tumor_084,tumor_110,test_035
35,normal_132,normal_031,test_036
36,tumor_036,normal_108,test_037
37,normal_103,normal_026,test_038
38,tumor_039,normal_139,test_039
39,normal_065,normal_073,test_040
40,normal_109,tumor_079,test_041
41,normal_027,tumor_021,test_042
42,normal_075,normal_094,test_043
43,normal_105,normal_118,test_044
44,normal_018,normal_106,test_045
45,normal_054,normal_064,test_046
46,normal_011,normal_058,test_047
47,normal_034,tumor_074,test_048
48,tumor_086,tumor_037,test_050
49,normal_098,normal_050,test_051
50,tumor_032,tumor_073,test_052
51,normal_115,normal_063,test_053
52,normal_076,normal_028,test_054
53,normal_061,normal_134,test_055
54,normal_021,,test_056
55,normal_146,,test_057
56,normal_154,,test_058
57,tumor_075,,test_059
58,normal_151,,test_060
59,tumor_070,,test_061
60,tumor_043,,test_062
61,normal_059,,test_063
62,tumor_063,,test_064
63,tumor_023,,test_065
64,normal_019,,test_066
65,normal_119,,test_067
66,normal_133,,test_068
67,normal_068,,test_069
68,tumor_048,,test_070
69,normal_035,,test_071
70,normal_152,,test_072
71,normal_052,,test_073
72,tumor_098,,test_074
73,normal_110,,test_075
74,normal_020,,test_076
75,tumor_081,,test_077
76,tumor_067,,test_078
77,tumor_017,,test_079
78,tumor_016,,test_080
79,tumor_040,,test_081
80,normal_007,,test_082
81,normal_056,,test_083
82,tumor_106,,test_084
83,tumor_091,,test_085
84,normal_085,,test_086
85,tumor_050,,test_087
86,tumor_006,,test_088
87,tumor_009,,test_089
88,normal_078,,test_090
89,normal_013,,test_091
90,tumor_015,,test_092
91,tumor_088,,test_093
92,normal_023,,test_094
93,tumor_069,,test_095
94,normal_003,,test_096
95,tumor_109,,test_097
96,tumor_030,,test_098
97,tumor_090,,test_099
98,normal_025,,test_100
99,normal_046,,test_101
100,normal_122,,test_102
101,normal_022,,test_103
102,tumor_042,,test_104
103,tumor_071,,test_106
104,normal_148,,test_107
105,normal_159,,test_108
106,normal_096,,test_109
107,normal_126,,test_110
108,normal_141,,test_111
109,normal_130,,test_112
110,normal_005,,test_113
111,tumor_095,,test_114
112,tumor_041,,test_115
113,tumor_101,,test_116
114,normal_117,,test_117
115,normal_091,,test_118
116,normal_014,,test_119
117,tumor_019,,test_120
118,tumor_008,,test_121
119,normal_145,,test_122
120,tumor_093,,test_123
121,tumor_087,,test_124
122,normal_043,,test_125
123,tumor_049,,test_126
124,tumor_083,,test_127
125,tumor_059,,test_128
126,normal_123,,test_129
127,tumor_108,,test_130
128,tumor_014,,test_105
129,normal_060,,
130,normal_150,,
131,tumor_105,,
132,tumor_058,,
133,normal_067,,
134,normal_157,,
135,tumor_051,,
136,tumor_026,,
137,normal_142,,
138,normal_158,,
139,tumor_111,,
140,normal_069,,
141,tumor_103,,
142,tumor_107,,
143,tumor_027,,
144,tumor_003,,
145,tumor_002,,
146,tumor_035,,
147,normal_038,,
148,normal_129,,
149,normal_099,,
150,normal_101,,
151,normal_113,,
152,normal_131,,
153,tumor_082,,
154,tumor_060,,
155,normal_055,,
156,tumor_076,,
157,normal_002,,
158,tumor_102,,
159,tumor_005,,
160,normal_114,,
161,normal_074,,
162,tumor_012,,
163,normal_083,,
164,normal_090,,
165,tumor_092,,
166,normal_015,,
167,normal_079,,
168,tumor_001,,
169,tumor_066,,
170,tumor_072,,
171,tumor_061,,
172,normal_144,,
173,tumor_062,,
174,tumor_044,,
175,normal_116,,
176,tumor_007,,
177,tumor_025,,
178,normal_097,,
179,tumor_018,,
180,normal_032,,
181,tumor_029,,
182,normal_081,,
183,normal_140,,
184,normal_077,,
185,tumor_045,,
186,tumor_057,,
187,normal_100,,
188,normal_024,,
189,normal_107,,
190,tumor_054,,
191,normal_008,,
192,normal_006,,
193,normal_039,,
194,tumor_033,,
195,tumor_022,,
196,tumor_024,,
197,normal_155,,
198,normal_127,,
199,normal_112,,
200,normal_121,,
201,tumor_064,,
202,tumor_013,,
203,tumor_094,,
204,tumor_077,,
205,tumor_034,,
206,tumor_097,,
207,normal_010,,
208,normal_036,,
209,normal_042,,
210,tumor_080,,
211,normal_087,,
212,tumor_053,,
213,normal_093,,
214,normal_048,,
215,tumor_004,,
