patch_id,annotation_name,patch_top_left,patch_top_left_x,patch_top_left_y,ill_cells_area,patch_area,not_ill_area
421,Group_0_Name_0,[ 13440 127808],13440,127808,7918,65536,57618
422,Group_0_Name_0,[ 13440 128064],13440,128064,30329,65536,35207
423,Group_0_Name_0,[ 13440 128320],13440,128320,1855,65536,63681
460,Group_0_Name_0,[ 13696 127040],13696,127040,4352,65536,61184
461,Group_0_Name_0,[ 13696 127296],13696,127296,36977,65536,28559
462,Group_0_Name_0,[ 13696 127552],13696,127552,50790,65536,14746
463,Group_0_Name_0,[ 13696 127808],13696,127808,64536,65536,1000
464,Group_0_Name_0,[ 13696 128064],13696,128064,65536,65536,0
465,Group_0_Name_0,[ 13696 128320],13696,128320,19121,65536,46415
502,Group_0_Name_0,[ 13952 127040],13952,127040,866,65536,64670
503,Group_0_Name_0,[ 13952 127296],13952,127296,9783,65536,55753
504,Group_0_Name_0,[ 13952 127552],13952,127552,44184,65536,21352
505,Group_0_Name_0,[ 13952 127808],13952,127808,48880,65536,16656
506,Group_0_Name_0,[ 13952 128064],13952,128064,41753,65536,23783
507,Group_0_Name_0,[ 13952 128320],13952,128320,221,65536,65315
547,Group_0_Name_0,[ 14208 127040],14208,127040,12159,65536,53377
548,Group_0_Name_0,[ 14208 127296],14208,127296,62631,65536,2905
549,Group_0_Name_0,[ 14208 127552],14208,127552,65536,65536,0
550,Group_0_Name_0,[ 14208 127808],14208,127808,47514,65536,18022
551,Group_0_Name_0,[ 14208 128064],14208,128064,22499,65536,43037
552,Group_0_Name_0,[ 14208 128320],14208,128320,20540,65536,44996
594,Group_0_Name_0,[ 14464 127040],14464,127040,35681,65536,29855
595,Group_0_Name_0,[ 14464 127296],14464,127296,65536,65536,0
596,Group_0_Name_0,[ 14464 127552],14464,127552,65536,65536,0
597,Group_0_Name_0,[ 14464 127808],14464,127808,65536,65536,0
598,Group_0_Name_0,[ 14464 128064],14464,128064,59168,65536,6368
599,Group_0_Name_0,[ 14464 128320],14464,128320,64758,65536,778
600,Group_0_Name_0,[ 14464 128576],14464,128576,668,65536,64868
645,Group_0_Name_0,[ 14720 127040],14720,127040,40005,65536,25531
646,Group_0_Name_0,[ 14720 127296],14720,127296,65536,65536,0
647,Group_0_Name_0,[ 14720 127552],14720,127552,65536,65536,0
648,Group_0_Name_0,[ 14720 127808],14720,127808,65536,65536,0
649,Group_0_Name_0,[ 14720 128064],14720,128064,65536,65536,0
650,Group_0_Name_0,[ 14720 128320],14720,128320,37404,65536,28132
698,Group_0_Name_0,[ 14976 127040],14976,127040,60469,65536,5067
699,Group_0_Name_0,[ 14976 127296],14976,127296,65536,65536,0
700,Group_0_Name_0,[ 14976 127552],14976,127552,65536,65536,0
701,Group_0_Name_0,[ 14976 127808],14976,127808,65536,65536,0
702,Group_0_Name_0,[ 14976 128064],14976,128064,65536,65536,0
703,Group_0_Name_0,[ 14976 128320],14976,128320,21801,65536,43735
752,Group_0_Name_0,[ 15232 127040],15232,127040,48154,65536,17382
753,Group_0_Name_0,[ 15232 127296],15232,127296,65536,65536,0
754,Group_0_Name_0,[ 15232 127552],15232,127552,58337,65536,7199
755,Group_0_Name_0,[ 15232 127808],15232,127808,30171,65536,35365
756,Group_0_Name_0,[ 15232 128064],15232,128064,19413,65536,46123
757,Group_0_Name_0,[ 15232 128320],15232,128320,173,65536,65363
806,Group_0_Name_0,[ 15488 127040],15488,127040,12559,65536,52977
807,Group_0_Name_0,[ 15488 127296],15488,127296,39361,65536,26175
808,Group_0_Name_0,[ 15488 127552],15488,127552,9923,65536,55613
1200,Group_0_Name_1,[ 17280 127552],17280,127552,22285,65536,43251
1201,Group_0_Name_1,[ 17280 127808],17280,127808,20969,65536,44567
1259,Group_0_Name_1,[ 17536 127296],17536,127296,8487,65536,57049
1260,Group_0_Name_1,[ 17536 127552],17536,127552,64758,65536,778
1261,Group_0_Name_1,[ 17536 127808],17536,127808,26661,65536,38875
1321,Group_0_Name_1,[ 17792 127296],17792,127296,37967,65536,27569
1322,Group_0_Name_1,[ 17792 127552],17792,127552,64460,65536,1076
1323,Group_0_Name_1,[ 17792 127808],17792,127808,39220,65536,26316
1324,Group_0_Name_1,[ 17792 128064],17792,128064,22293,65536,43243
1382,Group_0_Name_1,[ 18048 127040],18048,127040,12567,65536,52969
1383,Group_0_Name_1,[ 18048 127296],18048,127296,63486,65536,2050
1384,Group_0_Name_1,[ 18048 127552],18048,127552,31421,65536,34115
1385,Group_0_Name_1,[ 18048 127808],18048,127808,47174,65536,18362
1386,Group_0_Name_1,[ 18048 128064],18048,128064,3105,65536,62431
1445,Group_0_Name_1,[ 18304 127040],18304,127040,37894,65536,27642
1446,Group_0_Name_1,[ 18304 127296],18304,127296,63573,65536,1963
1447,Group_0_Name_1,[ 18304 127552],18304,127552,39615,65536,25921
1448,Group_0_Name_1,[ 18304 127808],18304,127808,3457,65536,62079
1508,Group_0_Name_1,[ 18560 127040],18560,127040,43651,65536,21885
1509,Group_0_Name_1,[ 18560 127296],18560,127296,7034,65536,58502
1570,Group_0_Name_1,[ 18816 127040],18816,127040,1177,65536,64359
