patch_id,annotation_name,patch_top_left,patch_top_left_x,patch_top_left_y,ill_cells_area,patch_area,not_ill_area
2825,Group_0_Name_11,[ 23296 139904],23296,139904,791,65536,64745
2826,Group_0_Name_11,[ 23296 140160],23296,140160,22761,65536,42775
2829,Group_0_Name_10,[ 23296 140928],23296,140928,14066,65536,51470
2830,Group_0_Name_10,[ 23296 141184],23296,141184,19907,65536,45629
2985,Group_0_Name_11,[ 23552 139904],23552,139904,12923,65536,52613
2986,Group_0_Name_11,[ 23552 140160],23552,140160,65527,65536,9
2987,Group_0_Name_11,[ 23552 140416],23552,140416,22220,65536,43316
2989,Group_0_Name_10,[ 23552 140928],23552,140928,40481,65536,25055
2990,Group_0_Name_10,[ 23552 141184],23552,141184,57395,65536,8141
2991,Group_0_Name_10,[ 23552 141440],23552,141440,6167,65536,59369
3148,Group_0_Name_11,[ 23808 139904],23808,139904,28873,65536,36663
3149,Group_0_Name_11,[ 23808 140160],23808,140160,65536,65536,0
3150,Group_0_Name_11,[ 23808 140416],23808,140416,18807,65536,46729
3152,Group_0_Name_10,[ 23808 140928],23808,140928,51670,65536,13866
3153,Group_0_Name_10,[ 23808 141184],23808,141184,63908,65536,1628
3154,Group_0_Name_10,[ 23808 141440],23808,141440,9649,65536,55887
3303,Group_0_Name_11,[ 24064 139904],24064,139904,50847,65536,14689
3304,Group_0_Name_11,[ 24064 140160],24064,140160,57880,65536,7656
3305,Group_0_Name_11,[ 24064 140416],24064,140416,997,65536,64539
3307,Group_0_Name_10,[ 24064 140928],24064,140928,44243,65536,21293
3308,Group_0_Name_10,[ 24064 141184],24064,141184,34527,65536,31009
3450,Group_0_Name_11,[ 24320 139904],24320,139904,17958,65536,47578
3451,Group_0_Name_11,[ 24320 140160],24320,140160,7386,65536,58150
3454,Group_0_Name_10,[ 24320 140928],24320,140928,5221,65536,60315
3455,Group_0_Name_10,[ 24320 141184],24320,141184,365,65536,65171
18323,Group_0_Name_16,[ 24128 101888],24128,101888,16404,65536,49132
18324,Group_0_Name_16,[ 24128 102144],24128,102144,50912,65536,14624
18325,Group_0_Name_16,[ 24128 102400],24128,102400,23929,65536,41607
18349,Group_0_Name_16,[ 24384 101888],24384,101888,54942,65536,10594
18350,Group_0_Name_16,[ 24384 102144],24384,102144,65536,65536,0
18351,Group_0_Name_16,[ 24384 102400],24384,102400,32498,65536,33038
18376,Group_0_Name_16,[ 24640 101888],24640,101888,59787,65536,5749
18377,Group_0_Name_16,[ 24640 102144],24640,102144,64346,65536,1190
18378,Group_0_Name_16,[ 24640 102400],24640,102400,6747,65536,58789
18404,Group_0_Name_16,[ 24896 101632],24896,101632,8760,65536,56776
18405,Group_0_Name_16,[ 24896 101888],24896,101888,60318,65536,5218
18406,Group_0_Name_16,[ 24896 102144],24896,102144,48677,65536,16859
18432,Group_0_Name_16,[ 25152 101376],25152,101376,4651,65536,60885
18433,Group_0_Name_16,[ 25152 101632],25152,101632,63274,65536,2262
18434,Group_0_Name_16,[ 25152 101888],25152,101888,65536,65536,0
18435,Group_0_Name_16,[ 25152 102144],25152,102144,22413,65536,43123
18461,Group_0_Name_16,[ 25408 101376],25408,101376,51758,65536,13778
18462,Group_0_Name_16,[ 25408 101632],25408,101632,65536,65536,0
18463,Group_0_Name_16,[ 25408 101888],25408,101888,48163,65536,17373
18464,Group_0_Name_16,[ 25408 102144],25408,102144,52,65536,65484
18488,Group_0_Name_16,[ 25664 101120],25664,101120,5528,65536,60008
18489,Group_0_Name_16,[ 25664 101376],25664,101376,65415,65536,121
18490,Group_0_Name_16,[ 25664 101632],25664,101632,65536,65536,0
18491,Group_0_Name_16,[ 25664 101888],25664,101888,14773,65536,50763
18514,Group_0_Name_16,[ 25920 101120],25920,101120,30557,65536,34979
18515,Group_0_Name_16,[ 25920 101376],25920,101376,65536,65536,0
18516,Group_0_Name_16,[ 25920 101632],25920,101632,59728,65536,5808
18517,Group_0_Name_16,[ 25920 101888],25920,101888,814,65536,64722
18540,Group_0_Name_16,[ 26176 101120],26176,101120,38448,65536,27088
18541,Group_0_Name_16,[ 26176 101376],26176,101376,65536,65536,0
18542,Group_0_Name_16,[ 26176 101632],26176,101632,26963,65536,38573
18565,Group_0_Name_16,[ 26432 101120],26432,101120,28548,65536,36988
18566,Group_0_Name_16,[ 26432 101376],26432,101376,49541,65536,15995
18567,Group_0_Name_16,[ 26432 101632],26432,101632,135,65536,65401
18588,Group_0_Name_16,[ 26688 101120],26688,101120,7740,65536,57796
18589,Group_0_Name_16,[ 26688 101376],26688,101376,8131,65536,57405
22539,Group_0_Name_9,[ 69760 105600],69760,105600,1944,65536,63592
22540,Group_0_Name_9,[ 69760 105856],69760,105856,20307,65536,45229
22541,Group_0_Name_9,[ 69760 106112],69760,106112,45614,65536,19922
22542,Group_0_Name_9,[ 69760 106368],69760,106368,48635,65536,16901
22692,Group_0_Name_9,[ 70016 105088],70016,105088,1905,65536,63631
22693,Group_0_Name_9,[ 70016 105344],70016,105344,32534,65536,33002
22694,Group_0_Name_9,[ 70016 105600],70016,105600,60988,65536,4548
22695,Group_0_Name_9,[ 70016 105856],70016,105856,65536,65536,0
22696,Group_0_Name_9,[ 70016 106112],70016,106112,65536,65536,0
22697,Group_0_Name_9,[ 70016 106368],70016,106368,54107,65536,11429
22871,Group_0_Name_9,[ 70272 104832],70272,104832,6655,65536,58881
22872,Group_0_Name_9,[ 70272 105088],70272,105088,52401,65536,13135
22873,Group_0_Name_9,[ 70272 105344],70272,105344,65536,65536,0
22874,Group_0_Name_9,[ 70272 105600],70272,105600,65536,65536,0
22875,Group_0_Name_9,[ 70272 105856],70272,105856,65536,65536,0
22876,Group_0_Name_9,[ 70272 106112],70272,106112,65536,65536,0
22877,Group_0_Name_9,[ 70272 106368],70272,106368,56774,65536,8762
22878,Group_0_Name_9,[ 70272 106624],70272,106624,1113,65536,64423
23076,Group_0_Name_9,[ 70528 104832],70528,104832,45868,65536,19668
23077,Group_0_Name_9,[ 70528 105088],70528,105088,65536,65536,0
23078,Group_0_Name_9,[ 70528 105344],70528,105344,65536,65536,0
23079,Group_0_Name_9,[ 70528 105600],70528,105600,65536,65536,0
23080,Group_0_Name_9,[ 70528 105856],70528,105856,65536,65536,0
23081,Group_0_Name_9,[ 70528 106112],70528,106112,65536,65536,0
23082,Group_0_Name_9,[ 70528 106368],70528,106368,65536,65536,0
23083,Group_0_Name_9,[ 70528 106624],70528,106624,13623,65536,51913
23286,Group_0_Name_9,[ 70784 104576],70784,104576,8429,65536,57107
23287,Group_0_Name_9,[ 70784 104832],70784,104832,65279,65536,257
23288,Group_0_Name_9,[ 70784 105088],70784,105088,65536,65536,0
23289,Group_0_Name_9,[ 70784 105344],70784,105344,65536,65536,0
23290,Group_0_Name_9,[ 70784 105600],70784,105600,65536,65536,0
23291,Group_0_Name_9,[ 70784 105856],70784,105856,65536,65536,0
23292,Group_0_Name_9,[ 70784 106112],70784,106112,65536,65536,0
23293,Group_0_Name_9,[ 70784 106368],70784,106368,65536,65536,0
23294,Group_0_Name_9,[ 70784 106624],70784,106624,8203,65536,57333
23511,Group_0_Name_9,[ 71040 104576],71040,104576,35250,65536,30286
23512,Group_0_Name_9,[ 71040 104832],71040,104832,65536,65536,0
23513,Group_0_Name_9,[ 71040 105088],71040,105088,65536,65536,0
23514,Group_0_Name_9,[ 71040 105344],71040,105344,65536,65536,0
23515,Group_0_Name_9,[ 71040 105600],71040,105600,65536,65536,0
23516,Group_0_Name_9,[ 71040 105856],71040,105856,65536,65536,0
23517,Group_0_Name_9,[ 71040 106112],71040,106112,65536,65536,0
23518,Group_0_Name_9,[ 71040 106368],71040,106368,64481,65536,1055
23519,Group_0_Name_9,[ 71040 106624],71040,106624,6345,65536,59191
23590,Group_0_Name_12,[ 71040 125056],71040,125056,12989,65536,52547
23591,Group_0_Name_12,[ 71040 125312],71040,125312,44568,65536,20968
23592,Group_0_Name_12,[ 71040 125568],71040,125568,56427,65536,9109
23593,Group_0_Name_12,[ 71040 125824],71040,125824,62226,65536,3310
23594,Group_0_Name_12,[ 71040 126080],71040,126080,51202,65536,14334
23595,Group_0_Name_12,[ 71040 126336],71040,126336,2366,65536,63170
23698,Group_0_Name_8,[71296 93824],71296,93824,33478,65536,32058
23699,Group_0_Name_8,[71296 94080],71296,94080,8966,65536,56570
23700,Group_0_Name_8,[71296 94336],71296,94336,26782,65536,38754
23701,Group_0_Name_8,[71296 94592],71296,94592,22934,65536,42602
23702,Group_0_Name_8,[71296 94848],71296,94848,24260,65536,41276
23703,Group_0_Name_8,[71296 95104],71296,95104,26260,65536,39276
23704,Group_0_Name_8,[71296 95360],71296,95360,2771,65536,62765
23739,Group_0_Name_9,[ 71296 104320],71296,104320,4397,65536,61139
23740,Group_0_Name_9,[ 71296 104576],71296,104576,61988,65536,3548
23741,Group_0_Name_9,[ 71296 104832],71296,104832,65536,65536,0
23742,Group_0_Name_9,[ 71296 105088],71296,105088,65536,65536,0
23743,Group_0_Name_9,[ 71296 105344],71296,105344,65536,65536,0
23744,Group_0_Name_9,[ 71296 105600],71296,105600,65536,65536,0
23745,Group_0_Name_9,[ 71296 105856],71296,105856,65536,65536,0
23746,Group_0_Name_9,[ 71296 106112],71296,106112,65056,65536,480
23747,Group_0_Name_9,[ 71296 106368],71296,106368,29629,65536,35907
23819,Group_0_Name_12,[ 71296 125056],71296,125056,43185,65536,22351
23820,Group_0_Name_12,[ 71296 125312],71296,125312,65536,65536,0
23821,Group_0_Name_12,[ 71296 125568],71296,125568,65536,65536,0
